season,pno,name,team,color,pos,war,owar,dwar,wrcplus,pa,hr,ops,sb,rbi,hit,run,iso,bbpct,kpct,sbrate,arch
1982,1049,정종현,O,#15326f,C,0.38,0.12,0.26,73.4,95,2,0.679,1,6,19,8,0.155,6.3,9.5,1.1,🧤 수비형·백업
1982,1048,이홍범,O,#15326f,CF,0.37,0.48,-0.11,80.4,175,3,0.671,9,15,36,29,0.118,9.1,9.7,5.1,🏃 호타준족
1982,1012,김인식,M,#1552f8,2B,0.36,0.81,-0.45,73.6,355,3,0.651,35,26,80,47,0.058,4.8,3.9,9.9,🏃 호타준족
1982,1077,배수희,M,#1552f8,OF,0.32,-0.05,0.37,42.3,24,0,0.554,0,3,5,2,0.087,4.2,16.7,0.0,🧤 수비형·백업
1982,1100,최정기,M,#1552f8,C,0.31,0.26,0.05,153.0,28,1,0.917,0,8,8,4,0.24,7.1,25.0,0.0,🎰 스윙형(삼진↑)
1982,1008,김용운,M,#1552f8,C,0.3,0.29,0.01,72.1,238,3,0.633,2,28,53,20,0.088,7.6,6.7,0.8,🧤 수비형·백업
1982,1028,정구왕,삼,#0061aa,CF,0.2,0.22,-0.01,77.6,157,0,0.642,16,17,41,14,0.034,3.8,12.1,10.2,🏃 호타준족
1982,1094,정문섭,롯,#888888,RF,0.18,-0.06,0.23,63.2,136,4,0.611,0,13,23,12,0.128,10.3,20.6,0.0,🎰 스윙형(삼진↑)
1982,1058,김봉기,M,#1552f8,LF,0.17,0.19,-0.02,128.8,39,0,0.841,2,6,12,10,0.03,2.6,10.3,5.1,🏃 호타준족
1982,1097,최순하,롯,#888888,C,0.17,-0.14,0.3,46.6,94,0,0.508,0,5,17,5,0.0,10.6,8.5,0.0,🧤 수비형·백업
1982,1098,최영조,해,#ff0c00,2B,0.15,-0.13,0.28,25.8,37,0,0.426,1,1,5,1,0.0,13.5,29.7,2.7,🎰 스윙형(삼진↑)
1982,1075,박준영,삼미,#88b7e1,LF,0.15,0.0,0.15,58.6,47,0,0.564,0,4,9,4,0.05,8.5,12.8,0.0,🧤 수비형·백업
1982,1074,박전섭,해,#ff0c00,C,0.1,-0.16,0.26,47.9,115,0,0.546,0,7,23,7,0.057,6.1,11.3,0.0,🧤 수비형·백업
