name,team,war,era,fip,ip,g,gf,sv,hd,k9,bb9,kbb
배재준,LG,-0.46,9.43,5.97,21.0,22,5,0,2,8.6,6.9,3.7
정세영,WO,-0.47,10.43,7.29,14.2,6,3,0,0,2.5,3.8,-2.6
홍민기,LT,-0.48,4.76,6.13,5.2,13,1,0,2,13.8,10.4,5.7
김성진,WO,-0.49,5.74,4.37,31.1,32,3,0,8,6.7,3.5,7.6
이병헌,OB,-0.52,4.25,4.12,36.0,47,3,0,7,7.8,4.0,8.7
류진욱,NC,-0.56,9.51,6.4,23.2,30,16,3,1,8.9,5.0,8.3
김재웅,WO,-0.63,9.3,6.91,20.1,19,9,5,2,3.1,4.0,-2.1
배재환,NC,-0.66,5.08,4.8,28.1,36,2,1,11,9.3,3.2,14.8
김서현,HH,-0.74,12.38,11.54,8.0,12,5,1,0,5.6,16.9,-19.2
조영건,WO,-0.85,6.48,6.1,25.0,30,7,0,3,6.1,2.9,7.6
이로운,SK,-1.2,7.08,5.32,40.2,45,2,0,7,8.5,5.6,6.8
