name,team,pos,owar,dwar,war,pa,wrcplus,bbpct,kpct,iso,sb,cs,gdp
류지혁,SS,2B,2.73,-0.01,2.72,429,104.3,11.0,14.5,0.112,26,4,9
정준재,SK,2B,2.06,0.65,2.71,480,89.2,9.6,14.2,0.07,17,6,4
한준수,HT,C,2.64,0.06,2.7,327,130.1,14.1,15.0,0.151,0,1,12
양의지,OB,C,2.84,-0.24,2.6,438,122.0,11.2,11.2,0.192,2,0,14
문현빈,HH,LF,2.89,-0.28,2.6,489,123.1,10.6,12.9,0.17,11,2,18
최형우,SS,DH,2.75,-0.16,2.59,465,140.1,13.5,15.3,0.176,1,0,16
강백호,HH,DH,2.4,0.0,2.4,429,132.5,9.8,20.5,0.258,0,2,7
전민재,LT,SS,1.41,0.96,2.37,395,82.4,6.3,19.7,0.117,10,3,7
김민석,OB,CF,2.26,0.1,2.36,398,124.0,10.6,17.3,0.097,2,0,1
안현민,KT,RF,2.58,-0.37,2.22,264,158.4,16.7,20.5,0.208,3,0,5
박승규,SS,CF,2.15,-0.06,2.08,302,134.4,15.6,14.2,0.194,7,1,5
정수빈,OB,CF,1.44,0.6,2.04,427,95.8,9.8,15.2,0.105,16,5,4
카스트로,HT,LF,2.25,-0.24,2.01,298,147.2,4.7,15.4,0.24,0,0,5
박동원,LG,C,2.04,-0.09,1.95,348,103.3,13.2,23.3,0.175,1,2,12
김상수,KT,SS,1.45,0.45,1.9,386,94.5,10.9,13.0,0.049,0,4,9
김호령,HT,CF,1.17,0.71,1.88,471,90.6,5.9,26.5,0.157,14,5,8
김건희,WO,C,2.0,-0.12,1.88,377,99.8,7.4,26.0,0.132,0,0,7
김선빈,HT,2B,1.59,0.23,1.83,419,102.0,12.6,9.8,0.056,1,0,9
조수행,OB,LF,1.31,0.42,1.72,145,138.2,9.7,12.4,0.058,13,3,1
문정빈,LG,1B,1.98,-0.26,1.72,216,152.3,9.7,30.1,0.309,0,0,1
김성윤,SS,RF,1.72,-0.03,1.69,375,109.3,10.9,9.6,0.094,16,5,8
김태연,HH,1B,1.39,0.26,1.65,333,112.6,8.7,16.2,0.166,3,1,5
고승민,LT,2B,1.85,-0.22,1.63,360,101.7,8.1,18.6,0.172,0,1,0
이재현,SS,SS,1.71,-0.15,1.56,229,111.0,10.9,15.3,0.254,1,0,1
박재현,HT,LF,1.6,-0.14,1.46,447,105.7,5.1,19.7,0.175,19,3,4
에레디아,SK,LF,0.97,0.49,1.46,385,106.0,6.0,16.1,0.182,1,3,9
홍창기,LG,RF,0.93,0.48,1.41,447,100.7,14.1,21.7,0.047,3,2,11
문보경,LG,3B,1.17,0.22,1.39,350,110.9,15.7,19.4,0.129,0,0,7
강민호,SS,C,1.69,-0.33,1.36,258,115.8,12.0,21.3,0.185,0,2,4
박건우,NC,RF,1.52,-0.24,1.28,415,114.6,10.8,16.4,0.18,9,2,7
심우준,HH,SS,1.16,0.09,1.25,350,73.1,8.6,16.3,0.075,21,1,1
카메론,OB,RF,1.73,-0.48,1.25,314,126.5,9.6,16.9,0.186,9,0,9
